min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.4004,0.2567875457875457,0.2698,0.07289700079798844,0.134325,0.3685125,0.137,0.357925,2004.0,152.0,14.0
0.1326,0.3975,0.260486813186813,0.2752,0.07334783893997857,0.13438750000000002,0.369475,0.13755,0.359325,2004.0,152.0,15.0
0.1326,0.3948,0.26661172161172136,0.28369999999999995,0.07416082010400439,0.1344875,0.3728,0.1381,0.36055,2004.0,152.0,16.0
0.1326,0.393,0.2757010989010991,0.29679999999999995,0.07513066415278057,0.13485,0.3743,0.138975,0.364925,2004.0,152.0,17.0
0.1326,0.3994,0.2879754578754576,0.31445,0.07554243586728218,0.13555,0.38055,0.141225,0.37195,2004.0,152.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,152.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,153.0,5.0
0.1326,0.4045,0.29806593406593446,0.32435,0.07414080140997313,0.13716250000000002,0.38537499999999997,0.14515,0.3778,2004.0,153.0,6.0
